Date,Open,High,Low,Close,Gain,% Gain
9/13/2018,2896.85,2906.76,2896.39,2904.18,7.33,0.0025
9/14/2018,2906.38,2908.30,2895.77,2904.98,-1.40,-0.0005
9/17/2018,2903.83,2904.65,2886.16,2888.80,-15.03,-0.0052
9/18/2018,2890.74,2911.17,2890.43,2904.31,13.57,0.0047
9/19/2018,2906.60,2912.36,2903.82,2907.95,1.35,0.0005
9/20/2018,2919.73,2934.80,2919.73,2930.75,11.02,0.0038
9/21/2018,2936.76,2940.91,2927.11,2929.67,-7.09,-0.0024
9/24/2018,2921.83,2923.79,2912.63,2919.37,-2.46,-0.0008
9/25/2018,2921.75,2923.95,2913.70,2915.56,-6.19,-0.0021
9/26/2018,2916.98,2931.15,2903.28,2905.97,-11.01,-0.0038
9/27/2018,2911.65,2927.22,2909.27,2914.00,2.35,0.0008
9/28/2018,2910.03,2920.53,2907.50,2913.98,3.95,0.0014
10/1/2018,2926.29,2937.06,2917.91,2924.59,-1.70,-0.0006
10/2/2018,2923.80,2931.42,2919.37,2923.43,-0.37,-0.0001
10/3/2018,2931.69,2939.86,2921.36,2925.51,-6.18,-0.0021
10/4/2018,2919.35,2919.78,2883.92,2901.61,-17.74,-0.0061
10/5/2018,2902.54,2909.64,2869.29,2885.57,-16.97,-0.0058
10/8/2018,2877.53,2889.45,2862.08,2884.43,6.90,0.0024
10/9/2018,2882.51,2894.83,2874.27,2880.34,-2.17,-0.0008
10/10/2018,2873.90,2874.02,2784.86,2785.68,-88.22,-0.0307
10/11/2018,2776.87,2795.14,2710.51,2728.37,-48.50,-0.0175
10/12/2018,2770.54,2775.77,2729.44,2767.13,-3.41,-0.0012
10/15/2018,2763.83,2775.99,2749.03,2750.79,-13.04,-0.0047
10/16/2018,2767.05,2813.46,2766.91,2809.92,42.87,0.0155
10/17/2018,2811.67,2816.94,2781.81,2809.21,-2.46,-0.0009
10/18/2018,2802.00,2806.04,2755.18,2768.78,-33.22,-0.0119
10/19/2018,2775.66,2797.77,2760.27,2767.78,-7.88,-0.0028
10/22/2018,2773.94,2778.94,2749.22,2755.88,-18.06,-0.0065
10/23/2018,2721.03,2753.59,2691.43,2740.69,19.66,0.0072
10/24/2018,2737.87,2742.59,2651.89,2656.10,-81.77,-0.0299
10/25/2018,2674.88,2722.70,2667.84,2705.57,30.69,0.0115
10/26/2018,2667.86,2692.38,2628.16,2658.69,-9.17,-0.0034
10/29/2018,2682.65,2706.85,2603.54,2641.25,-41.40,-0.0154
10/30/2018,2640.68,2685.43,2635.34,2682.63,41.95,0.0159
10/31/2018,2705.60,2736.69,2705.60,2711.74,6.14,0.0023
11/1/2018,2717.58,2741.67,2708.85,2740.37,22.79,0.0084
11/2/2018,2745.45,2756.55,2700.44,2723.06,-22.39,-0.0082
11/5/2018,2726.37,2744.27,2717.94,2738.31,11.94,0.0044
11/6/2018,2738.40,2756.82,2737.08,2755.45,17.05,0.0062
11/7/2018,2774.13,2815.15,2774.13,2813.89,39.76,0.0143
11/8/2018,2806.38,2814.75,2794.99,2806.83,0.45,0.0002
11/9/2018,2794.10,2794.10,2764.24,2781.01,-13.09,-0.0047
11/12/2018,2773.93,2775.99,2722.00,2726.22,-47.71,-0.0172
11/13/2018,2730.05,2754.60,2714.98,2722.18,-7.87,-0.0029
11/14/2018,2737.90,2746.80,2685.75,2701.58,-36.32,-0.0133
11/15/2018,2693.52,2735.38,2670.75,2730.20,36.68,0.0136
11/16/2018,2718.54,2746.75,2712.16,2736.27,17.73,0.0065
11/19/2018,2730.74,2733.16,2681.09,2690.73,-40.01,-0.0147
11/20/2018,2654.60,2669.44,2631.52,2641.89,-12.71,-0.0048
11/21/2018,2657.74,2670.73,2649.82,2649.93,-7.81,-0.0029
11/23/2018,2633.36,2647.55,2631.09,2632.56,-0.80,-0.0003
11/26/2018,2649.97,2674.35,2649.97,2673.45,23.48,0.0089
11/27/2018,2663.75,2682.53,2655.89,2682.17,18.42,0.0069
11/28/2018,2691.45,2744.00,2684.38,2743.79,52.34,0.0194
11/29/2018,2736.97,2753.75,2722.94,2737.80,0.83,0.0003
11/30/2018,2737.76,2760.88,2732.76,2760.17,22.41,0.0082
12/3/2018,2790.50,2800.18,2773.38,2790.37,-0.13,0.0000
12/4/2018,2782.43,2785.93,2697.18,2700.06,-82.37,-0.0296
12/6/2018,2663.51,2696.15,2621.53,2695.95,32.44,0.0122
12/7/2018,2691.26,2708.54,2623.14,2633.08,-58.18,-0.0216
12/10/2018,2630.86,2647.51,2583.23,2637.72,6.86,0.0026
12/11/2018,2664.44,2674.35,2621.30,2636.78,-27.66,-0.0104
12/12/2018,2658.23,2685.44,2650.26,2651.07,-7.16,-0.0027
12/13/2018,2658.70,2670.19,2637.27,2650.54,-8.16,-0.0031
12/14/2018,2629.68,2635.07,2593.84,2599.95,-29.73,-0.0113
12/17/2018,2590.75,2601.13,2530.54,2545.94,-44.81,-0.0173
12/18/2018,2559.90,2573.99,2528.71,2546.16,-13.74,-0.0054
12/19/2018,2547.05,2585.29,2488.96,2506.96,-40.09,-0.0157
12/20/2018,2496.77,2509.63,2441.18,2467.42,-29.35,-0.0118
12/21/2018,2465.38,2504.41,2408.55,2416.62,-48.76,-0.0198
12/24/2018,2400.56,2410.34,2351.10,2351.10,-49.46,-0.0206
12/26/2018,2363.12,2467.76,2346.58,2467.70,104.58,0.0443
12/27/2018,2442.50,2489.10,2397.94,2488.83,46.33,0.0190
12/28/2018,2498.77,2520.27,2472.89,2485.74,-13.03,-0.0052
12/31/2018,2498.94,2509.24,2482.82,2506.85,7.91,0.0032
1/2/2019,2476.96,2519.49,2467.47,2510.03,33.07,0.0134
1/3/2019,2491.92,2493.14,2443.96,2447.89,-44.03,-0.0177
1/4/2019,2474.33,2538.07,2474.33,2531.94,57.61,0.0233
1/7/2019,2535.61,2566.16,2524.56,2549.69,14.08,0.0056
1/8/2019,2568.11,2579.82,2547.56,2574.41,6.30,0.0025
1/9/2019,2580.00,2595.32,2568.89,2584.96,4.96,0.0019
1/10/2019,2573.51,2597.82,2562.02,2596.64,23.13,0.0090
1/11/2019,2588.11,2596.27,2577.40,2596.26,8.15,0.0031
1/14/2019,2580.31,2589.32,2570.41,2582.61,2.30,0.0009
1/15/2019,2585.10,2613.08,2585.10,2610.30,25.20,0.0097
1/16/2019,2614.75,2625.76,2612.68,2616.10,1.35,0.0005
1/17/2019,2609.28,2645.06,2606.36,2635.96,26.68,0.0102
1/18/2019,2651.27,2675.47,2647.58,2670.71,19.44,0.0073
1/22/2019,2657.88,2657.88,2617.27,2632.90,-24.98,-0.0094
1/23/2019,2643.48,2653.19,2612.86,2638.70,-4.78,-0.0018
1/24/2019,2638.84,2647.20,2627.01,2642.33,3.49,0.0013
1/25/2019,2657.44,2672.38,2657.33,2664.76,7.32,0.0028
1/28/2019,2644.97,2644.97,2624.06,2643.85,-1.12,-0.0004
1/29/2019,2644.89,2650.93,2631.05,2640.00,-4.89,-0.0018
1/30/2019,2653.62,2690.44,2648.34,2681.05,27.43,0.0103
1/31/2019,2685.49,2708.95,2678.65,2704.10,18.61,0.0069
2/1/2019,2702.32,2716.66,2696.88,2706.53,4.21,0.0016
2/4/2019,2706.49,2724.99,2698.75,2724.87,18.38,0.0068
2/5/2019,2728.34,2738.98,2724.03,2737.70,9.36,0.0034
2/6/2019,2735.05,2738.08,2724.15,2731.61,-3.44,-0.0013
2/7/2019,2717.53,2719.32,2687.26,2706.05,-11.48,-0.0042
2/8/2019,2692.36,2708.07,2681.83,2707.88,15.52,0.0058
2/11/2019,2712.40,2718.05,2703.79,2709.80,-2.60,-0.0010
2/12/2019,2722.61,2748.19,2722.61,2744.73,22.12,0.0081
2/13/2019,2750.30,2761.85,2748.63,2753.03,2.73,0.0010
2/14/2019,2743.50,2757.90,2731.23,2745.73,2.23,0.0008
2/15/2019,2760.24,2775.66,2760.24,2775.60,15.36,0.0056
2/19/2019,2769.28,2787.33,2767.29,2779.76,10.48,0.0038
2/20/2019,2779.05,2789.88,2774.06,2784.70,5.65,0.0020
2/21/2019,2780.24,2781.58,2764.55,2774.88,-5.36,-0.0019
2/22/2019,2780.67,2794.20,2779.11,2792.67,12.00,0.0043
2/25/2019,2804.35,2813.49,2794.99,2796.11,-8.24,-0.0029
2/26/2019,2792.36,2803.12,2789.47,2793.90,1.54,0.0006
2/27/2019,2787.50,2795.76,2775.13,2792.38,4.88,0.0018
2/28/2019,2788.11,2793.73,2782.51,2784.49,-3.62,-0.0013
3/1/2019,2798.22,2808.02,2787.38,2803.69,5.47,0.0020
3/4/2019,2814.37,2816.88,2767.66,2792.81,-21.56,-0.0077
3/5/2019,2794.41,2796.44,2782.97,2789.65,-4.76,-0.0017
3/6/2019,2790.27,2790.27,2768.69,2771.45,-18.82,-0.0067
3/7/2019,2766.53,2767.25,2739.09,2748.93,-17.60,-0.0064
